Charge (C),Temperature (K)
-0.00366230868,1670.104307227679
-0.0037070555219999,1669.989407174268
-0.003731144616,1670.125743360367
-0.003744330042,1670.2868764885857
-0.003742030866,1670.340201190363
-0.0037202409479999,1670.5016388179884
-0.003686397774,1670.4913660660714
-0.003629615094,1670.4203857475968
-0.003575706384,1670.3471034358872
-0.0034879545,1670.3775222485583
-0.003388724154,1670.3642081648986
-0.0032677038899999,1670.321005451638
-0.003104810754,1670.319236397003
-0.00297691038,1670.3480531547875
-0.002801981406,1670.4330058131914
-0.002620172322,1670.491166902976
-0.002418280284,1670.526087067868
-0.002198029674,1670.507987755987
-0.001970898954,1670.4212678951535
-0.001727726256,1670.4595520751743
-0.0014684767439999,1670.4190379326587
-0.0011937426299999,1670.5808764574203
-0.0009167267579999,1670.5532975583587
-0.000625933248,1670.568018169226
-0.000330558804,1670.6843472409937
-3.0011214e-05,1670.8168809745844
0.000263064054,1670.6930873134747
0.000564186438,1670.6925530172798
0.0008578365,1670.7419107966589
0.001142899488,1670.8074174810536
0.001417616184,1671.2016945146895
0.001688344158,1670.890700001134
0.001949875428,1670.631525772712
0.002209699734,1670.481495969551
0.00245689599,1670.2965179789758
0.002696062548,1670.4709627209686
0.002920319298,1670.8323574512206
0.003137695938,1670.9471847120917
0.0033378635939999,1670.6109645674233
0.003523121442,1670.7115051144651
0.003699200004,1670.7749975711367
0.0038660992799999,1670.7751683625545
0.004018663542,1670.914604263528
0.004155168408,1670.9681988743123
0.004287074922,1671.2472625824262
0.00440178987,1671.353456203652
0.004506175944,1671.1001485912798
0.004597951386,1670.838711450854
0.004679397954,1670.8325707176118
0.004751647818,1668.8000229802292
0.004822208136,1669.0802488277782
0.0048445728479999,1669.0569009121305
0.004868087148,1669.129062775054
0.004876116846,1669.0439846472077
0.004870961118,1669.20227375098
0.004854901722,1669.146534444827
0.00482278293,1669.223444716487
0.004771730772,1669.31910413997
0.004707493188,1669.0741843674057
0.004627196208,1669.0327031018485
0.004551480162,1668.989290407808
0.0044115439499999,1668.9636163564596
0.004232016624,1668.9628183333298
0.00410986419,1668.8098592331648
0.0039498450239999,1668.7987740007488
0.003763437588,1668.8239752741092
0.003563844726,1668.8898907990988
0.00335104902,1668.9323162157102
0.0031227861299999,1668.826712789255
0.002879596014,1668.8617870816663
0.002619789126,1668.8860876687936
0.002351360328,1668.8797009208988
0.002068021722,1668.718917435825
0.001781826564,1668.8200016584697
0.001484152944,1668.7370638277423
0.001190502882,1668.8640237464742
0.000889380498,1668.7748907306443
0.0005951556419999,1668.694013787106
0.000294050676,1668.56907257484
6.1137180000000005e-06,1668.5918728752567
-0.000269752566,1668.539373290128
-0.00054448668,1668.4086575476745
-0.00080889192,1668.286115088813
-0.001064117874,1668.3129401814704
-0.0013141881,1668.26422530398
-0.0015533546579999,1668.09545441495
-0.0017776114079999,1668.3238373658069
-0.00198983232,1668.2926220777808
-0.002189425182,1668.4125618022
-0.002379281382,1669.591682412407
-0.00255478515,1669.4764801386764
-0.002721684426,1669.3520624634884
-0.0028765478639999,1669.4892176091475
-0.003018783252,1669.4695282802118
-0.0031472584199999,1669.651695499484
-0.003256242846,1669.8371616778495
-0.003365209854,1669.8969415052595
-0.0034523869439999,1669.8446027520977
-0.0035389892399999,1669.9086981292944
-0.003606675588,1670.0137422316548
-0.003666332238,1670.04396546107
-0.003703031964,1670.067230744679
