# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.248000,0.006904,-0.145950,2.378195
0.249000,0.008024,-0.133701,2.873503
0.250000,0.009604,-0.120958,3.363878
0.251000,0.011086,-0.107127,3.851621
0.252000,0.012667,-0.092738,4.328840
0.253000,0.013984,-0.077195,4.806716
0.254000,0.015268,-0.062048,5.271108
0.255000,0.016585,-0.045123,5.729580
0.256000,0.017705,-0.028692,6.171937
0.257000,0.018758,-0.011898,6.597849
0.258000,0.019648,0.005620,7.002713
0.259000,0.020932,0.022677,7.381923
0.260000,0.021788,0.039800,7.728573
0.261000,0.022578,0.056132,8.034770
0.262000,0.022907,0.072531,8.289332
0.263000,0.023270,0.087908,8.507715
0.264000,0.023336,0.103352,8.689263
0.265000,0.023500,0.118367,8.843513
0.266000,0.023599,0.133119,8.957967
0.267000,0.023599,0.146949,9.022758
0.268000,0.023533,0.160549,9.041176
0.269000,0.023171,0.173028,9.013878
0.270000,0.022743,0.185080,8.943495
0.271000,0.022150,0.195947,8.827068
0.272000,0.021393,0.206517,8.675120
0.273000,0.020866,0.216362,8.482719
0.274000,0.020570,0.225615,8.255785
0.275000,0.019878,0.234144,7.994974
0.276000,0.019285,0.241618,7.703906
0.277000,0.018462,0.248830,7.387514
0.278000,0.017441,0.254921,7.042508
0.279000,0.016519,0.260816,6.680729
0.280000,0.015433,0.265755,6.292639
0.281000,0.014181,0.270266,5.892381
0.282000,0.013720,0.273888,5.468442
0.283000,0.012733,0.276621,5.034637
0.284000,0.011580,0.278399,4.587347
0.285000,0.010460,0.279387,4.127230
0.286000,0.009077,0.279815,3.665469
0.287000,0.008123,0.278729,3.186277
0.288000,0.006871,0.277510,2.713663
0.289000,0.005818,0.275271,2.222959
0.290000,0.004830,0.272011,1.738175
0.291000,0.003447,0.267829,1.241221
0.292000,0.001636,0.262627,0.740650
0.293000,0.001306,0.256173,0.239091
0.294000,-0.000933,0.250344,-0.271677
0.295000,-0.001097,0.239379,-0.786722
0.296000,-0.003468,0.231904,-1.319527
0.297000,-0.005016,0.222026,-1.828982
0.298000,-0.006465,0.210764,-2.339753
0.299000,-0.007980,0.198713,-2.832108
0.300000,-0.009626,0.186331,-3.325778
