# Seconds,Charge (C)
0.451,-0.001915265862
0.452,-0.001669793988
0.453,-0.001415142828
0.454,-0.0011415583019999999
0.455,-0.0008570701079999999
0.456,-0.000570300156
0.457,-0.000273776124
0.458,2.3322701999999998e-05
0.459,0.00032157111599999996
0.46,0.000620969118
0.461,0.000910038246
0.462,0.0011968081979999998
0.463,0.001469243136
0.464,0.0017457016319999998
0.465,0.002011813836
0.466,0.0022693389659999997
0.467,0.002509080318
0.468,0.002741366766
0.469,0.002960467788
0.47,0.00316981473
0.471,0.003372281562
0.472,0.003555240234
0.473,0.0037330431780000003
0.474,0.00388961358
0.475,0.00404332743
0.476,0.004175233944
0.477,0.004306583082
0.478,0.004426453758
0.479,0.00452911545
0.48,0.00461916651
0.481,0.0046948825559999996
0.482,0.004757395758
0.483,0.00480614874
0.484,0.004845147642
0.485,0.0048646383839999995
0.486,0.004872093288
0.487,0.0048640635899999994
0.488,0.004839417119999999
0.489,0.004800975594
0.49,0.0047527974060000006
0.491,0.00455950986
0.492,0.004602532319999999
0.493,0.004530839832
0.494,0.004386305268
0.495,0.00422743569
0.496,0.004086907266
0.497,0.003913702674
0.498,0.0037209899220000003
0.499,0.003516241332
0.5,0.0033063195959999996
0.501,0.0030654286560000002
0.502,0.002814783636
0.503,0.002554401954
0.504,0.002280817428
0.505,0.002002651968
0.506,0.001713008046
0.507,0.001421064948
0.508,0.0011245409159999999
0.509,0.000829166472
0.51,0.000532067646
0.511,0.000233244438
0.512,-5.1226338e-05
0.513,-0.000327684834
0.514,-0.0006064250879999999
0.515,-0.000871405122
0.516,-0.0011312294280000001
0.517,-0.00137097078
0.518,-0.001606705992
0.519,-0.0018298131539999998
0.52,-0.002039160096
0.521,-0.0022404773399999998
0.522,-0.0024217116299999997
0.523,-0.002595508434
0.524,-0.00275953374
0.525,-0.0029063674800000002
0.526,-0.003044021934
0.527,-0.003173071896
0.528,-0.00328433808
0.529,-0.003390448536
0.53,-0.003484505736
0.531,-0.0035625209579999997
0.532,-0.003623884572
0.533,-0.003671487966
0.534,-0.003715660014
0.535,-0.0037345759619999996
0.536,-0.0037494857700000003
0.537,-0.003742030866
0.538,-0.003723114918
0.539,-0.0036806672519999997
0.54,-0.003623884572
0.541,-0.003557922606
0.542,-0.003495409404
0.543,-0.003352599222
0.544,-0.003255668052
0.545,-0.0030944992980000002
0.546,-0.002960850984
0.547,-0.0027905203619999997
0.548,-0.0025995145739999997
0.549,-0.002393041602
0.55,-0.002179671102
0.551,-0.001949109036
0.552,-0.0017179721759999998
0.553,-0.001438657128
0.554,-0.00116622219
0.555,-0.00087943482
0.556,-0.00059438925
0.557,-0.000294416454
0.558,-3.6229439999999996e-06
0.559,0.00029405067600000003
0.56,0.000594006054
0.561,0.000885374358
0.562,0.001170994722
0.563,0.001446878424
0.564,0.0017135828399999998
0.565,0.001977413286
0.566,0.0022337888279999997
0.567,0.002479260702
0.568,0.0027184272599999997
0.569,0.00294555798
0.57,0.003157204098
0.571,0.003359078718
0.572,0.0035426121840000002
0.573,0.0037152593999999995
0.574,0.0038787099119999995
0.575,0.004034722938
0.576,0.00417065301
0.577,0.0043008525599999995
0.578,0.004414992714
0.579,0.0045147804359999995
0.58,0.004603107114
0.581,0.004677673572
0.582,0.00474361812
0.583,0.004798693836000001
0.584,0.004842273671999999
0.585,0.004868087148
0.586,0.004881847368
0.587,0.004872668082000001
0.588,0.0048503033700000005
0.589,0.0048095800860000005
0.59,0.004769431596
0.591,0.0046948825559999996
0.592,0.004622615274
0.593,0.00451248126
0.594,0.00439778373
0.595,0.004293397656
0.596,0.004093804794
0.597,0.0039268881
0.598,0.003735324936
0.599,0.0035397556319999995
0.6,0.00332352858
0.601,0.0030935238900000003
0.602,0.00284462067
0.603,0.002591676474
0.604,0.00231694236
0.605,0.0020353281359999998
0.606,0.001746833802
0.607,0.0014520341519999999
0.608,0.001154360532
0.609,0.000854979948
0.61,0.000552707976
0.611,0.000260207502
0.612,-2.7137244e-05
0.613,-0.000307044504
0.614,-0.0005800542359999999
0.615,-0.0008444594759999999
0.616,-0.0010962366660000002
0.617,-0.00134057637
0.618,-0.001575161994
0.619,-0.001798269156
0.62,-0.0020133466199999998
0.621,-0.0022100829299999997
0.622,-0.002414256726
0.623,-0.002580598626
0.624,-0.002746923108
0.625,-0.00289260726
0.626,-0.003037141824
0.627,-0.00316389261
0.628,-0.003278607558
0.629,-0.0033847180139999996
0.63,-0.003466164582
0.631,-0.0035510424959999997
0.632,-0.0036083999699999996
0.633,-0.00366230868
0.634,-0.0037070555219999995
0.635,-0.003731144616
0.636,-0.003744330042
0.637,-0.003742030866
0.638,-0.0037202409479999998
0.639,-0.003686397774
0.64,-0.003629615094
0.641,-0.003575706384
0.642,-0.0034879545
0.643,-0.003388724154
0.644,-0.0032677038899999998
0.645,-0.003104810754
0.646,-0.00297691038
0.647,-0.002801981406
0.648,-0.002620172322
0.649,-0.002418280284
0.65,-0.002198029674
0.651,-0.001970898954
0.652,-0.001727726256
0.653,-0.0014684767439999999
0.654,-0.0011937426299999999
0.655,-0.0009167267579999999
0.656,-0.000625933248
0.657,-0.000330558804
0.658,-3.0011213999999996e-05
0.659,0.000263064054
0.66,0.000564186438
0.661,0.0008578365
0.662,0.001142899488
0.663,0.001417616184
0.664,0.001688344158
0.665,0.001949875428
0.666,0.002209699734
0.667,0.00245689599
0.668,0.002696062548
