Time (s),Temperature (K)
0.105,1668.3924014053314
0.106,1668.1490450513015
0.107,1667.9279677257805
0.108,1667.8042461067052
0.109,1667.6798104845216
0.11,1667.7563363908916
0.111,1667.599772515674
0.112,1667.4037817393096
0.113,1667.4448693026698
0.114,1667.5936999142123
0.115,1667.9924656992748
0.116,1668.130665431126
0.117,1668.2432988952833
0.118,1668.7005257995174
0.119,1668.898407378956
0.12,1669.198004010353
0.121,1668.9357076624046
0.122,1668.5884837920526
0.123,1668.1518933213833
0.124,1667.942893563205
0.125,1667.9015971243552
0.126,1667.642085854337
0.127,1667.6179239481203
0.128,1667.765856866603
0.129,1667.7956087894026
0.13,1667.9753210775916
0.131,1668.1968686055561
0.132,1668.4160045387148
0.133,1668.4487063964602
0.134,1668.472192455985
0.135,1668.7146875141043
0.136,1668.7736912939436
0.137,1668.8378010113051
0.138,1668.7875570480164
0.139,1668.738356779043
0.14,1668.4854675887864
0.141,1668.4219920513146
0.142,1668.409706620047
0.143,1668.3850980210336
0.144,1668.3942110486055
0.145,1668.2615767946731
0.146,1668.493020168642
0.147,1668.423452071731
0.148,1668.484284202957
0.149,1668.416939858314
0.15,1668.4343671720862
0.151,1668.5902488658876
0.152,1668.4650783377656
0.153,1668.4939632094943
0.154,1668.7060114451533
0.155,1668.6896429994795
0.156,1668.9514337566202
0.157,1669.1590422525887
0.158,1669.3110227141156
0.159,1669.3195080220094
0.16,1668.9132129541094
0.161,1668.46570715807
0.162,1668.0102477044006
0.163,1667.7747838122687
0.164,1667.877570805636
0.165,1667.991196411078
0.166,1668.176808802677
0.167,1668.2876710881114
0.168,1668.3169572062525
0.169,1668.3318087084922
0.17,1668.3502955217891
0.171,1668.6272481192327
0.172,1668.7239957716447
0.173,1668.7997279940437
0.174,1668.7299462048982
0.175,1668.6123486988463
0.176,1668.5160194338746
0.177,1668.2732640524364
0.178,1668.2093844357983
0.179,1667.8968455511526
0.18,1667.977008574764
0.181,1667.9134729969146
0.182,1667.987112756451
0.183,1668.2390314302447
0.184,1668.306135556545
0.185,1668.350479582325
0.186,1668.3643808607076
0.187,1668.302722980592
0.188,1668.2487457102757
0.189,1668.2807013524566
0.19,1668.3086052522608
0.191,1668.3095783700774
0.192,1668.364001387417
0.193,1668.4728442158967
0.194,1668.4101044855315
0.195,1668.4178254760486
0.196,1668.428094393681
0.197,1668.4085063733496
0.198,1668.3554080236522
0.199,1668.257770189402
0.2,1668.2917076732483
0.201,1669.0110454092296
0.202,1668.9332329561407
